,Unnamed: 0,ImageId,No. Mask,Otsu,"BW:1, Colour:0","class: colour=0, BW=1, BW/light=2",Dimension,IoU RW,IoU Ncut,IoU Felzen,IoU U-Net
31,31,2dd9d8c797fc695665326fc8fd0eb5cd292139fa478ccb5acb7fb352f7030063,16,0.2362515318627451,1,1,"(256, 256, 3)",0.4145027195027196,0.12815371762740183,0.3775776674306086,0.6013731297941824
32,32,6b61ab2e3ff0e2c7a55fd71e290b51e142555cf82bc7574fc27326735e8acbd1,158,0.17151501225490196,1,1,"(520, 696, 3)",0.26885957257251775,0.020181401287092955,0.4252569725452453,0.6048708412587173
33,33,a1f50f101bc471e2d6967ebdb8ba81150588609e769f3b960f0801e4da5fdc6f,7,0.07018229166666667,1,1,"(256, 256, 3)",0.25782828282828285,0.02857142857142857,0.4588095238095238,0.8226923076923077
34,34,fc22db33a2495f58f118bc182c0087e140df14ccb8dad51373e1a54381f683de,89,0.12076439950980393,1,1,"(520, 696, 3)",0.24689871902449428,0.049231926262516976,0.5115824380097033,0.6455690244366247
35,35,a90401357d50e1376354ae6e5f56a2e4dff3fdb5a4e8d50316673b2b8f1f293b,20,0.4603720848651961,0,0,"(256, 320, 3)",0.0554488989271598,0.08165413533834587,0.029891304347826088,0.2729683006204745
36,36,f487cc82271cf84b4414552aa8b0a9d82d902451ebe8e8bc639d4121c1672ff7,47,0.09883578431372547,1,1,"(256, 256, 3)",0.2526275650152508,0.09909814721855437,0.38247143924537574,0.5288566003694251
37,37,10ba6cbee4873b32d5626a118a339832ba2b15d8643f66dddcd7cb2ec80fbc28,67,0.08195465686274507,1,1,"(520, 696, 3)",0.38301975696591767,0.03384976342065894,0.6885216807271858,0.8161099050958782
38,38,a246bcaa64af48ee5ca181cd594c0fc43466e7614406eb8bc01199a16ebc95d0,44,0.07455575980392158,1,1,"(256, 256, 3)",0.06828499336577164,0.0,0.36751768463149387,0.5830381582729103
39,39,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,23,0.43990177619485293,0,0,"(256, 320, 3)",0.1468352699931647,0.11474595579858737,0.1296583850931677,0.33104660641502753
40,40,e52960d31f8bddf85400259beb4521383f5ceface1080be3429f2f926cc9b5c2,130,0.06266084558823529,1,1,"(520, 696, 3)",0.17685854189654682,0.013157894736842105,0.6227158214357362,0.7697753731411132
41,41,e23e11414ee645b51081fb202d38b793f0c8ef2940f8228ded384899d21b02c2,199,0.13090533088235295,1,1,"(520, 696, 3)",0.13392875290374626,0.0005681818181818182,0.27680494722295135,0.5976364241802591
42,42,e856511ac1c34d24320eb7c56c05a4a3340d06667b4f5b8e8df615d415c7f650,27,0.3525965073529412,1,1,"(256, 256, 3)",0.5214005602240896,0.08698099694423225,0.34051197398763006,0.4697121435187929
43,43,420f43d21dbaba42bf8c0995b3a2c85537876d594433770c6c6f3d6b779ec15f,49,0.6209087944240197,0,0,"(256, 320, 3)",0.20320076956941363,0.319765200007727,0.27901462820236966,0.4796405310491122
44,44,c3bec1066aae20f48b82975e7e8b684cd67635a8baf211e4d9e3e13bc54c5d06,76,0.1143841911764706,1,1,"(256, 256, 3)",0.07333795132530008,0.015310167310167311,0.329919841575773,0.40826526340789815
45,45,58cc121d37fb7f1b4a5252024d88415936781e540252b8f734faeedd29b682d5,49,0.11326593137254905,1,1,"(256, 256, 3)",0.027922949917446344,0.010590052718001902,0.11722596697489696,0.26310568741603224
46,46,0287e7ee5b007c91ae2bd7628d09735e70496bc6127ecb7f3dd043e04ce37426,62,0.1183517156862745,1,1,"(256, 256, 3)",0.13477119454129566,0.05543660985800478,0.2737460817501992,0.4630333439594052
47,47,6eefe1f0d9c2d2c2380db3ecd2113a566ace7dfc917687bb5033b4af5b8293aa,33,0.14554227941176473,1,1,"(256, 256, 3)",0.5099143992455363,0.15431750077168307,0.5579865995545972,0.7653257853257853
48,48,a891bbc89143bca7a717386144eb061ec2d599cba24681389bcb3a2fedb8ff8c,155,0.09924938725490197,1,1,"(520, 696, 3)",0.34460422326460094,0.036609365323395204,0.6038517750453557,0.6809503361056387
49,49,8f6e49e474ebb649a1e99662243d51a46cc9ba0c9c8f1efe2e2b662a81b48de1,74,0.12555147058823532,1,1,"(256, 256, 3)",0.23165953969969047,0.05724961974961974,0.34345920657769463,0.5177428627852855
50,50,8e8a7a14749d0b2e48de3d10e2e80063f17b165ad921c8afc0623f08500f3259,16,0.10927542892156863,1,1,"(256, 256, 3)",0.43478998622860515,0.08426470588235295,0.4664032183846425,0.5982144293614883
51,51,1db1cddf28e305c9478519cfac144eee2242183fe59061f1f15487e925e8f5b5,9,0.20896905637254906,1,1,"(256, 256, 3)",0.7789898989898989,0.5504156954156953,0.6806700244200244,0.5258974358974361
52,52,6bd18a218d25247dc456aed124c066a6397fb93086e860e4d04014bfa9c9555d,46,0.14044117647058826,1,1,"(256, 256, 3)",0.4022643894485978,0.09890065570143261,0.4875497347466009,0.7112178387650084
53,53,20468e8779c43e089dc0ff30f25e6cf3872d5aa6a0fdad6f8aca382da43e8582,20,0.3160386029411765,1,1,"(256, 256, 3)",0.3376055494661633,0.2977704442100727,0.33500074272133096,0.6323572567783095
54,54,ef6634efb46567d87b811be786b18c4cd0e2cda23d79b65d6afe0d259ef3ade6,32,0.09496783088235294,1,1,"(256, 256, 3)",0.04620871790683111,0.030140712945590998,0.16626343100089352,0.3341224096101145
55,55,15039b3acccc4257a1a442646a89b6e596b5eb4531637e6d8fa1c43203722c99,33,0.5930140073529412,0,0,"(256, 320, 3)",0.15678872227010868,0.11141700448507849,0.1546103359283725,0.25233469866957964
56,56,ce88df7356d9d4a8d5944a93768f4c4b593de2d35616f7448c2b37b9fd60dd1f,58,0.19482230392156866,1,1,"(256, 256, 3)",0.5854062411696611,0.13889899268488803,0.5315798970235978,0.7015500470231271
57,57,c043d5ac9dd466052e53491d0d513b0684f493d320b820f6dc2e05330ce58ec3,13,0.10966605392156864,1,1,"(256, 256, 3)",0.44106349206349205,0.1438468720821662,0.5422679364652039,0.7556989404457435
58,58,f4faa3a409014db1865074c5f66a0255f71ae3faba03265da0b3b91f68e8a8f0,14,0.15968903186274513,1,1,"(520, 696, 3)",0.7308212560386472,0.4231456948848254,0.8659846547314578,0.9157142857142858
59,59,b6c9b58de0388891221b8f7a83cbf0b8f8379b51b5c9a127bf43a4fc49f1cc48,18,0.062905943627451,1,1,"(360, 360, 3)",0.4279079662019771,0.0,0.589321220948627,0.7666666666666667
60,60,8d05fb18ee0cda107d56735cafa6197a31884e0a5092dc6d41760fb92ae23ab4,94,0.7555300245098038,1,2,"(1024, 1024, 3)",0.01730769230769231,0.0,0.017854145898482842,0.25705432108641113
61,61,ac8169a0debed11560f3f0e246c05ea82d03c66346f1576cc8268554cb3f549f,23,0.05502450980392158,1,1,"(360, 360, 3)",0.4683322811423289,0.0,0.44906612883083474,0.6254332519332519
62,62,19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a,70,0.3225566789215686,1,1,"(260, 347, 3)",0.2981921402311539,0.20126962167314408,0.27622404131447226,0.40305296908763977
63,63,2ab91a4408860ae8339689ed9f87aa9359de1bdd4ca5c2eab7fff7724dbd6707,55,0.3525965073529412,1,1,"(256, 256, 3)",0.4010884769352511,0.030782010726652608,0.3983525835710896,0.5056902971196682
64,64,eeb142344e9de3250ab748f93940bf06be70d5078337680998468a134a101698,50,0.31131280637254904,1,1,"(256, 256, 3)",0.2747022054587286,0.07649715739310634,0.2049608210333523,0.43100137663211024
65,65,1609b1b8480ee52652a644403b3f7d5511410a016750aa3b9a4c8ddb3e893e8e,19,0.05473345588235295,1,1,"(360, 360, 3)",0.4035187276491624,0.0,0.5477546384774645,0.853548463919981
66,66,3b75fc03a1d12b29bd2870eb1f6fdb44174dbd1118dfc11c31f127bd87bd27ef,8,0.1057904411764706,1,1,"(256, 256, 3)",0.561010101010101,0.10787878787878787,0.55621114996115,0.8933333333333333
67,67,bff985591dd5d6303018a6e9a3dcfb336771a414ad4605c24ce1c1155fc86a96,17,0.3477634803921569,1,1,"(256, 256, 3)",0.3741076503064994,0.07058823529411765,0.3302388379594262,0.4662745098039215
68,68,7c0157913223365720209ac83ff2e0b1b2b460173acd615c67646014093a2b97,25,0.04338235294117647,1,1,"(360, 360, 3)",0.1955391351943076,0.0,0.36973160173160174,0.5638211951447245
69,69,573e1480b500c395f8d3f1800e1998bf553af0d3d43039333d33cf37d08f64e5,12,0.1139246323529412,1,1,"(256, 256, 3)",0.40134507391473334,0.21186463046757167,0.7421678321678322,0.7229437229437229
70,70,9774c82396327929fea05e40ae153cabf0107178b2ae3e40a5709b409793887e,14,0.2587699142156863,1,1,"(256, 256, 3)",0.392548466026727,0.04,0.3915310051145965,0.4208004693105313
71,71,a3a1b8f9794ef589b71faa9f35fd97ad6761c4488718fbcf766e95e31afa8606,16,0.10140165441176474,1,1,"(256, 256, 3)",0.3467580262463491,0.07142857142857142,0.41299449604403166,0.5695477999812366
72,72,e414b54f2036bcab61b9c0a966f65adf4b169097c13c740e03d6292ac076258c,63,0.5811955139399511,0,0,"(256, 320, 3)",0.40727487032937254,0.3867750872792349,0.4214390802434281,0.5326961984693954
73,73,853a4c67900c411abd04467f7bc7813d3c58a5f565c8b0807e13c6e6dea21344,18,0.4485160424325981,0,0,"(256, 320, 3)",0.2140055804861297,0.26736227824463116,0.2226903531251357,0.5983121722905004
74,74,2c840a94d216f5ef4e499b53ae885e9b022cbf639e004ec788436093837823b2,20,0.06256127450980392,1,1,"(360, 360, 3)",0.4901135921700804,0.0,0.7738383838383839,0.8845588235294117
75,75,4d40de30a3db3bc4f241cb7f48e8497c11e8f20a99bf55788bdce17242029745,28,0.2767463235294117,1,1,"(256, 256, 3)",0.3948465628890375,0.11463646107608956,0.2969036679621456,0.4220311120039381
76,76,68f833de9f8c631cedd7031b8ed9b908c42cbbc1e14254722728a8b7d596fd4c,32,0.16530330882352942,1,1,"(256, 256, 3)",0.14944306589467876,0.04,0.04975369458128078,0.4471486443088877
77,77,d32ea6d318626ca14a967d0c1ad3218aebfe636624a8d1173f5150dde8ff38cf,10,0.10971200980392158,1,1,"(256, 256, 3)",0.5257278669043375,0.08,0.6111156387472176,0.9538461538461538
78,78,150b0ffa318c87b31d78af0e87d60390dbcd84b5f228a8c1fb3225cbe5df3e3f,198,0.15160079656862746,1,1,"(520, 696, 3)",0.09732779316426193,0.01859835588536693,0.23999675578688623,0.5402074800435802
79,79,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,32,0.09105392156862743,1,1,"(256, 256, 3)",0.15332176967795424,0.0196031746031746,0.36567252311352655,0.5608030492898914
80,80,1a75e9f15481d11084fe66bc2a5afac6dc5bec20ed56a7351a6d65ef0fe8762b,8,0.171530330882353,1,1,"(256, 256, 3)",0.41450840825840823,0.11666666666666665,0.2535054651231122,0.3575
81,81,29ea4f6eb4545f43868a9b40a60000426bf8dfd9d062546656a37bd2a2aaf9ec,13,0.05467218137254902,1,1,"(512, 640, 3)",0.1747794117647059,0.025,0.23232492997198878,0.6498901098901099
82,82,648636ee314d7bdba3ab2fc0fe49a863de35c3e2caf619039f678df67b526868,86,0.3589767156862745,1,1,"(256, 256, 3)",0.22189516061675357,0.09555242271962813,0.26084905192118457,0.4985122981244712
83,83,60cb718759bff13f81c4055a7679e81326f78b6a193a2d856546097c949b20ff,27,0.10533854166666667,1,1,"(256, 256, 3)",0.37524844249972644,0.039709906951286254,0.606358492400126,0.8341030112481596
84,84,295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81,18,0.04728094362745097,1,1,"(360, 360, 3)",0.41841898040040454,0.0,0.4194677544677544,0.9294117647058824
85,85,4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819,22,0.3563495710784314,1,1,"(256, 256, 3)",0.5127814587373412,0.2570381619397638,0.36257082152727593,0.5181424148606811
86,86,2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177,23,0.1239813112745098,1,1,"(256, 256, 3)",0.0037037037037037034,0.0,0.018121693121693122,0.15645933014354066
87,87,aa58ba4512955771b4f9b459cb4e6a8adb71d11cd6cae662ec2df31d688a5fe0,53,0.5647412048100491,0,0,"(256, 320, 3)",0.2573526551141538,0.1943989354260373,0.24813386285885075,0.40709879646650016
88,88,9c95eae11da041189e84cda20bdfb75716a6594684de4b6ce12a9aaadbb874c9,20,0.25197610294117645,1,1,"(256, 256, 3)",0.211549252111912,0.04,0.19084749772594703,0.2488519468185305
89,89,3874755f6222e83006fdad4d664ec0d9697c13af4fbe24b2f9a059bb13075186,15,0.2029871323529412,1,1,"(256, 256, 3)",0.35628851540616246,0.18031934568699276,0.2877442002442002,0.486078431372549
90,90,fa751ff3a6332c95cb5cb1d28563553914295e9e7d35c4b6bd267241e8a0787c,43,0.1181295955882353,1,1,"(256, 256, 3)",0.2390299241355142,0.06934441737904833,0.4796899637595221,0.7342721607660632
91,91,2dd3356f2dcf470aec4003800744dfec6490e75d88011e1d835f4f3d60f88e7a,117,0.44624849494485297,0,0,"(256, 320, 3)",0.10880556241328884,0.09093731734142654,0.1065754901212493,0.21916486580847785
92,92,b3a9f4c9035a0df7e033b18c63bfb0f0d87ff5a4d9aa8bdf417159bb733abb80,6,0.08992034313725493,1,1,"(256, 256, 3)",0.4954545454545454,0.016666666666666666,0.6925,0.8014285714285714
93,93,adc315bd40d699fd4e4effbcce81cd7162851007f485d754ad3b0472f73a86df,5,0.058915441176470615,1,1,"(360, 360, 3)",0.22285714285714286,0.0,0.2527170868347339,0.320412087912088
94,94,0b0d577159f0d6c266f360f7b8dfde46e16fa665138bf577ec3c6f9c70c0cd1e,7,0.09064797794117646,1,1,"(520, 696, 3)",0.08818181818181818,0.0,0.35893939393939395,0.3676406926406927
95,95,1815cf307859b3e13669041d181aa3b3dbbac1a95aef4c42164b223110c09168,9,0.1358762254901961,1,1,"(256, 256, 3)",0.4170979020979021,0.08181818181818182,0.4579420579420579,0.8145979020979022
96,96,14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf,21,0.047081801470588235,1,1,"(360, 360, 3)",0.45204305839088443,0.0,0.5105843138451834,0.8802177858439201
97,97,c15c652c08153fb781a5349123ab8f80bb2a8680a41eb8e89e547ae01b7a5441,4,0.17221966911764705,1,1,"(520, 696, 3)",0.82,0.26666666666666666,0.8333333333333334,0.9333333333333332
98,98,f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,92,0.10969669117647056,1,1,"(256, 256, 3)",0.09301607825239658,0.035866326226349374,0.26252470559927593,0.4175802013887684
99,99,cdab367b30db47061df837c1ae9fa875d6057614f797332d37d3513517d6c694,22,0.06510416666666666,1,1,"(360, 360, 3)",0.3624323357801618,0.0,0.7596428571428571,0.8657442519341835
100,100,136000dc18fa6def2d6c98d4d0b2084d13c22eaffe82e26c665bcaa2a9e51261,34,0.5125033800551471,0,0,"(256, 320, 3)",0.2678365480740703,0.2300338889776002,0.4104494341825549,0.3642015530542423
101,101,777f7c4269279951ae05b56e806745e613297d411d048c0bce8964afd7d71a4b,44,0.07493872549019608,1,1,"(360, 360, 3)",0.18527698296911893,0.0,0.42579800871027,0.4321892237217314
102,102,a31deaf0ac279d5f34fb2eca80cc2abce6ef30bd64e7aca40efe4b2ba8e9ad3d,87,0.4600253010110295,0,0,"(256, 320, 3)",0.2603752195757938,0.13787248787248785,0.25546655997660667,0.3568649594643538
103,103,0ddd8deaf1696db68b00c600601c6a74a0502caaf274222c8367bdc31458ae7e,32,0.10625,1,1,"(256, 256, 3)",0.0466098915318693,0.009892473118279569,0.2398150784664796,0.6134671292278354
104,104,5d21acedb3015c1208b31778561f8b1079cca7487399300390c3947f691e3974,37,0.09027267156862744,1,1,"(512, 640, 3)",0.21269600128441538,0.04697994987468671,0.16371202066593563,0.5573809523809523
105,105,5b2ccfb94dedf2ec8797c0404fc324888e35ab903c41bb26f070552033ca8e6c,36,0.11750153186274513,1,1,"(256, 256, 3)",0.20188217481695742,0.1399537925891471,0.3295728247017424,0.5231811464702344
106,106,3bf7873f11823f4b64422f49c8248dd95c0d01f9ae9075ae3d233bbb21a3d875,66,0.2400045955882353,1,1,"(256, 256, 3)",0.4549456903923719,0.04299460978964616,0.3405748632452375,0.5183821680728741
107,107,79fe419488ba98494e3baa35c6fef9662eda1efe325d0ab0ac002f5383245d96,74,0.5744749272365197,0,0,"(256, 320, 3)",0.20851866304547353,0.18227082174416745,0.24305314352299895,0.4800548903033478
108,108,4185b9369fc8bdcc7e7c68f2129b9a7442237cd0f836a4b6d13ef64bf0ef572a,48,0.14786305147058826,1,1,"(256, 256, 3)",0.6184503483024499,0.14987519723126733,0.5856029975977953,0.7426999810900641
109,109,76faaed50ed6ea6814ac36199964b86fb09ba7f41a6f213bceaa80d625adc2e1,111,0.05924479166666668,1,1,"(520, 696, 3)",0.19167698469384523,0.009900990099009901,0.6362469763812157,0.8280604640741984
110,110,b4de1e3eec159d8af1bd5447696f8996c31709edaf33e26ba9613816705847db,25,0.054633884803921576,1,1,"(360, 360, 3)",0.34483260847053954,0.0,0.5687154632806808,0.7630852994555354
111,111,a22b7882fa85b9f0fcef659a7b82bfcddf01710f9a7617a9e036e84ac6901841,31,0.09438572303921568,1,1,"(256, 256, 3)",0.15717662951705505,0.028160578747628083,0.29684447594153257,0.4666880387954866
112,112,57b49733c5a3c268b013553635a826e6a1b10e699bbd19c3b842375fe0adf344,18,0.05121017156862745,1,1,"(360, 360, 3)",0.3728721804511278,0.0,0.5301286140759826,0.7470531674208145
113,113,58c593bcb98386e7fd42a1d34e291db93477624b164e83ab2afa3caa90d1d921,2,0.2099800857843137,1,1,"(256, 256, 3)",0.3583333333333333,0.4,0.1,0.12000000000000002
114,114,6bc8cda54f5b66a2a27d962ac219f8075bf7cc43b87ba0c9e776404370429e80,18,0.04692861519607842,1,1,"(360, 360, 3)",0.42666666666666664,0.0,0.572279969343908,0.6360370235050542
115,115,a7f6194ddbeaefb1da571226a97785d09ccafc5893ce3c77078d2040bccfcb77,83,0.4558851922487746,0,0,"(256, 320, 3)",0.18287900813523045,0.14176763003696796,0.28352539791881415,0.3922828081868842
116,116,5419302571113e9aa74c7c0a9575333ca539b871a16c86ee92b35170b4ddc52e,8,0.09051011029411764,1,1,"(256, 256, 3)",0.23186147186147185,0.1125,0.30418470418470417,0.5985714285714285
117,117,da31f2aa8601afec5c45180a2c448cb9c4a8ec7b35e75190d6ba3588f69058c8,62,0.23494944852941174,1,1,"(520, 696, 3)",0.38030293988164254,0.25718296612617075,0.46797089792446106,0.6380166104325748
118,118,c620631271a56407d6d69fa1a69451ca99c50dcc30e29db04cf6fb7cacbde8cb,11,0.2432138480392157,1,1,"(256, 256, 3)",0.09871794871794871,0.05833333333333333,0.1273193473193473,0.5802197802197803
119,119,be26966900aa0e5b41d5a8ecafe04281b37deb05c5cd027968d7b74143398174,33,0.32734375,1,1,"(256, 256, 3)",0.2555018951553457,0.11875991062005493,0.3460708669809439,0.563369534144902
120,120,4e07a653352b30bb95b60ebc6c57afbc7215716224af731c51ff8d430788cd40,136,0.771484375,1,2,"(1024, 1024, 3)",0.010272649205667669,0.0,0.02784420523729299,0.19438954791093024
121,121,94519eb45cbe1573252623b7ea06a8b43c19c930f5c9b685edb639d0db719ab0,61,0.5917607153799019,0,0,"(256, 320, 3)",0.3613659162373558,0.37233743334347097,0.3384555134547935,0.5432027113889722
122,122,fa73f24532b3667718ede7ac5c2e24ad7d3cae17b0a42ed17bbb81b15c28f4ae,7,0.3788679534313725,1,1,"(256, 256, 3)",0.7,0.3,0.29833333333333334,0.3466666666666667
123,123,305a8baaf726d7c9e695bff31d3a6a61445999a4732f0a3e6174dc9dcbe43931,12,0.12876838235294116,1,1,"(256, 256, 3)",0.6119668737060041,0.0749404761904762,0.5290909090909091,0.7716550116550116
124,124,866a8cba7bfe1ea73e383d6cf492e53752579140c8b833bb56839a55bf79d855,5,0.09022671568627452,1,1,"(520, 696, 3)",0.3277777777777778,0.0,0.4,0.8333333333333333
125,125,0e21d7b3eea8cdbbed60d51d72f4f8c1974c5d76a8a3893a7d5835c85284132e,29,0.528941400122549,0,0,"(256, 320, 3)",0.27040160577401595,0.23031217148864208,0.3468401999483207,0.5097392899812254
126,126,1ec74a26e772966df764e063f1391109a60d803cff9d15680093641ed691bf72,26,0.6093837086397058,0,0,"(256, 320, 3)",0.20564141374899889,0.2117064288286699,0.18259918206368636,0.4410689028471707
127,127,bde3727f3a9e8b2b58f383ebc762b2157eb50cdbff23e69b025418b43967556b,106,0.05901501225490196,1,1,"(520, 696, 3)",0.14309439059080847,0.0,0.5876643669387811,0.7683156289275179
